Symbol	Description
FREMQ	FTSE Rafi Emerging Index
FREMQN	FTSE Rafi Emerging Net I
FRES	Fresnillo Plc
FREU	FTSE Europe Index
FREUQ	FTSE Rafi Europe Index -
FREZ	FTSE Rafi Eurozone Index
FRGBR1	FTSE Rafi UK 100 Index
FRGBR1N	FTSE Rafi UK 100 Net Ind
FRGBR1Q	FTSE Rafi UK 100 Index -
FRGBR3	FTSE Rafi UK 300 Index
FRGBR3Q	FTSE Rafi UK 300 Index -
FRGOV01	FTSE France Government T
FRHKG	FTSE Rafi Hong Kong/China Index
FRITA3	FTSE Rfi Italy 30 Index
FRITA3Q	FTSE Rafi Italy 30 Index
FRJP350Q	FTSE Rafi Japan 350 Inde
FRJPN	FTSE Rafi Japan Index
FRJPN350	FTSE Rafi Japan 350 Inde
FRJPNQ	FTSE Rafi Japan Index -
FRJPNUH	FTSE Rafi Japan Index [Cad]
FRP	Fairpoint Group Plc
FRR	Frontera Resources Corporation
FRSDEURN	FTSE Rafi Dveu Net Index
FRSDEURQ	FTSE Rafi Developed Euro
FRSDEURS	FTSE Rafi Developed Europe Mid Small
FRSDXUS	FTSE Rafi Developed Ex US Mid Small 1500
FRSDXUSN	FTSE Rafi Dev Ex US MS Index
FRSDXUSQ	FTSE Rafi Developed Mid
FRSWEAC	FTSE Rafi Sweden All Cap Index
FRTW100	Tsec Rafi Taian 100 Inde
FRTW50	Tsec Rafi Taian 50 Index
FRTWLVN	FTSE Rafi Twd Taiwan Low
FRUKLVN	FTSE Rafi UK Low Volatil
FRUKLVQ	FTSE Rafi UK Low Volatil
FRUR	FTSE Rafi US 100 Real Estate Index
FRUS500	FTSE Rafi US 500 Index
FRUSLVN	FTSE Rafi US Low Volatil
FRUSLVQ	FTSE Rafi US Low Volatil
FRX1	FTSE Rafi Global Ex US 1
FRX1C	FTSE Rafi Global Ex US 1
FRX1N	FTSE Rafi Dev Ex US Inde
FRX1Q	FTSE Rafi Developed Ex U
FRX1QN	FTSE Rafi Developed Ex U
FRXR	FTSE Rafi Global Ex US Real Estate
FRXULVNU	FTSE Rafi Developed Ex U
FRXULVQU	FTSE Rafi Developed Ex U
FSFL	Foresight Solar Fund Lim
FSJ	Fisher [James] & Sons Plc
FST	Frontier Smart Technologies Group Limite
FSTA	Fuller Smith & Turner Plc
FSTHA	FTSE Set All Shares Index
FSTHF	FTSE Set Fledgling Index
FSTHL	FTSE Set Large Cap Index
FSTHM	FTSE Set Mid Cap Index
FSTHMS	FTSE Set Mid Small Cap Index
FSTHS	FTSE Set Small Cap Index
FSTSH	FTSE Set Shariah Index
FSUS	Ishares IV Plc
FSV	Fidelity Special Values Plc
FSWD	Ishares IV Plc
FT43	Sga Societe Generale Acc
FT44	Sga Societe Generale Acc
FT45	Sga Societe Generale Acc
FT46	Sga Societe Generale Acc
FTAL	SSGA SPDR ETFS Europe I Plc
FTBRXX	FTSE Brazil Infrastructu
FTBRXXN	FTSE Brazil Infrastructu
FTC	Filtronic Plc
FTD	Foresight 3 Vct Plc
FTDCUN	FTSE All-World Cyclical
FTDDUN	FTSE Developed Defensive
FTECEN	FTSE Developed Europe Cy
FTEDEN	FTSE Developed Europe De
FTEMCUN	FTSE Emerging Cyclical N
FTEMDUN	FTSE Emerging Defensive
FTEMSLNU	FTSE Emerging Large Cap
FTEMSLU	FTSE Emerging Super Liqu
FTENNASN	FTSE Epra/Nareit North A
FTESLNE	FTSE Eurobloc Large Cap
FTESPSL	FTSE All Cap Spain Super
FTESPSLN	FTSE Spain Super Liquid
FTEU	First Trust Global Funds Public Limited
FTEUCEN	FTSE Eurobloc Cyclical N
FTEUDEN	FTSE Eurobloc Defensive
FTEUSLNE	FTSE Eurobloc Large Cap
FTF	Foresight 4 Vct Plc
FTGMIL2X	FTSE Gold Mines 2X Daily Leverage Index
FTGMIL3X	FTSE Gold Mines 3X Daily Leverage Index
FTGMIS1X	FTSE Gold Mines Daily Short Index
FTGMIS2X	FTSE Gold Mines 2X Daily Short Index
FTGMIS3X	FTSE Gold Mines 3X Daily Short Index
FTICEN	FTSE Italy Cyclical Net
FTIDEN	FTSE Italy Defensive Net
FTJPEM	FTSE Emerging Diversifie
FTJPEMN	FTSE Emerging Diversifie
FTJPEU	FTSE Deveudivfactor
FTJPEUN	FTSE Deveudivfct Nt
FTJPGE	FTSE Developed Diversifi
FTJPGEN	FTSE Developed Diversifi
FTJPIN	FTSE Developed Ex North
FTJPINN	FTSE Developed Ex North
FTJPMC	Russell Midcap Diversified Factor Index
FTJPSE	Russell 2000 Diversified Factor Index
FTJPUS	Russell 1000 Diversified Factor Index
FTJSLY	FTSE Japan Large Cap Sup
FTJSLYN	FTSE Japan Large Cap Sup
FTOBAM03	Tobam Maximum Diversification USA Index
FTOBAM10	Tobam Maximum Diversification Canada Ind
FTSD10	FTSE Asia Pac Small Cap
FTSD14	FTSE Dev Europe Small CA
FTSV	Foresight Solar Vct Plc
FTSWD	FTSE Shariah Developed Europe Index
FTUGAS	Epra/Nareit Asia Index [Usd]
FTUKCGN	FTSE UK Cyclical Net Ind
FTUKDGN	FTSE UK Defensive Net In
FTUKLSNG	FTSE UK Large Cap Super
FTUKMSLG	FTSE UK Mid Cap Super Li
FTUKMSNG	FTSE UK Mid Cap Super Li
FTUKSLSP	FTSE UK Large Cap Super Liquid Expiry Index
FTUSLNU	FTSE USA Large Cap Super
FTUSLU	FTSE USA Super Liquid In
FTUSSNU	FTSE USA Small Cap Super
FTUSSU	FTSE USA Small Cap Super
FTV	Foresight Vct Plc
FTVI	Foresight Vct Plc
FTVP	Foresight Vct Plc
FTXUKSNE	FTSE Developed Europe Ex
FUDP	FTSE UK Dividend+ Index
FUDPN	FTSE UK Dividend+ Net Ta
FUL	The Fulham Shore Plc
FUM	Futura Medical Plc
FUSSCQV3	FTSE USA Small Cap Qual/Vol/Yield Factor
FUSYQVCF	FTSE USA Yield/Qual/Vol
FUSYQVCN	FTSE USA Qual/Vol/Yield Factor 5% Capped
FUTR	Future Plc
FVTT	FTSE Vietnam Index
FWEC	Go Ucits ETF Solutions P
FXC	Ishares Plc
FXI	Fusionex International P
FXPO	Ferrexpo Plc
FXRU	Finex Funds Plc
FXTM	FTSE China 50 Mini Index
G06	FTSE Asia Pac Lms Index
G07	FTSE Asia Pac Lms Ex Jap
G08	FTSE Asia Pac Lms Ex Jap
G09	FTSE Asia Pac Lms Ex JP
G10	FTSE Greater China Lms I
G11	FTSE Europe Lms Index
G12	FTSE Europe Lms Ex UK In
G14	FTSE Eurobloc Lms Index
G4M	Gear4Music (Holdings) Pl
GABC	Gcp Asset Backed Income Fund Limited
GABI	Gcp Asset Backed Income Fund Limited
GACA	General Accident Plc
GACB	General Accident Plc
GAID	Gail (India) Ld
GAL	Galantas Gold Corporation
GAMA	Gamma Communications Plc
GAN	Gameaccount Network Plc
GASD	Boost Issuer Public Limi
GATC	Gattaca Plc
GAW	Games Workshop Group Plc
GAZ	Jsc Gazprom Neft
GBAU	ETFS Foreign Exchange Limited
GBCH	ETFS Foreign Exchange Limited
GBDV	SSGA SPDR ETFS Europe I
GBG	Gb Group Plc
GBGI	Gbgi Limited
GBJP	ETFS Foreign Exchange Limited
GBNO	ETFS Foreign Exchange Limited
GBP	Global Petroleum Limited
GBPCORPA	
GBPP	ETFS Foreign Exchange Limited
GBRE	SSGA SPDR ETFS Europe I
GBS	Gold Bullion Securities Ld
GBSK	ETFS Foreign Exchange Limited
GBSP	ETFS Hedged Metal Securi
GBSS	Gold Bullion Securities Ld
GBUR	ETFS Foreign Exchange Limited
GBUS	ETFS Foreign Exchange Limited
GCG	Golden Rock Global Plc
GCL	Geiger Counter Limited
GCLA	Grupo Clarin S.A.
GCM	Gcm Resources Plc
GCP	Gcp Infrastructure Investments Limited
GCVB	SSGA SPDR ETFS Europe II
GD07	FTSE Global Energy
GDG	Green Dragon Gas Ltd.
GDL	Greka Drilling Limited
GDP	Goldplat Plc
GDPECO	FTSE Emerging Incl China
GDPECON	FTSE Emerging Incl China
GDR	Genedrive Plc
GDWN	Goodwin Plc
GDX	Market Vectors Ucits ETF
GDXJ	Market Vectors Ucits ETF
GEC	General Electric Company
GED	Global Energy Development Plc
GEEC	Great Eastern Energy Corporation Limited
GEF	Fundlogic Alternatives P
GEF5	Sga Societe Generale Acc
GEISAC	FTSE Gloabl All Cap Inde
GEM	Gemfields Plc
GEMD	Gem Diamonds Limited
GENL	Genel Energy Plc
GEO	Georgian Mining Corporation
GFIN	Gfinity Plc
GFIR	Global Fixed Income Real
GFM	Griffin Mining Limited
GFRD	Galliford Try Plc
GFS	G4S Plc
GFTU	Grafton Group Plc
GGP	Greatland Gold Plc
GGRG	Wisdomtree Issuer Plc
GGRP	Wisdomtree Issuer Plc
GHE	Gresham House Plc
GHEW	Gresham House Plc
GHG	Georgia Healthcare Group Plc
GHH	Gooch & Housego Plc
GHS	Gresham House Strategic Plc
GHT	Gresham Computing Plc
GHYS	Ishares Vi Plc (The Comp
GI18	Ishares IV Plc
GIL5	Multi Units Luxembourg
GILI	Multi Units France
GILS	Multi Units France
GIN	SSGA SPDR ETFS Europe II
GINC	First Trust Global Funds Public Limited
GINV	Global Invacom Group Lim
GIPO	Grand Group Investment P
GKN	Gkn Plc
GKP	Gulf Keystone Petroleum Ltd
GLB	Glanbia Plc
GLD	Boost Issuer Public Limi
GLDG	UBS Ag
GLDV	SSGA SPDR ETFS Europe I
GLE	Gleeson [M.J.] Group Plc
GLEN	Glencore Xstrata Plc
GLIF	Greenwich Loan Income Fund Ld
GLIZ	Gli Finance Limited
GLOO	Gloo Networks Plc
GLPR	Global Ports Investments
GLR	Galileo Resources Plc
GLRE	SSGA SPDR ETFS Europe I
GLTD	Global Telecom Holding S
GLTL	SSGA SPDR ETFS Europe I Plc
GLTR	Globaltrans Investment P
GLTS	SSGA SPDR ETFS Europe I Plc
GLTY	SSGA SPDR ETFS Europe I Plc
GMAA	Gama Aviation Plc
GMD	Game Digital Plc
GMIN	FTSE Gold Mines Net Tax Index
GMR	Gaming Realms Plc
GMS	Gulf Marine Services Plc
GNC	Greencore Group Plc
GNGL	Gn Group Ltd
GNK	Greene King Plc
GNS	Genus Plc
GOAL	Goals Soccer Centres Plc
GOCO	Gocompare.Com Group Plc
GOG	Go-Ahead Group Plc
GOOD	Good Energy Group Plc
GOT	Gotech Group Plc
GOVY	SSGA SPDR ETFS Europe I
GPBGI028	FTSE Custom Xinhua Chia
GPCSSA50	FTSE China A50 Shariah I
GPCST001	FTSE Coast Kuwait 40 Ind
GPFF001	FTSE Asfa L/M 200 Tax Ex
GPFF002	FTSE Asfa All-Share L/M/
GPFF003	FTSE Asfa L/M 200 Ex Rei
GPFF004	FTSE Asfa All-Share L/M/
GPLGHE01	Heitman Prime Real Estate Index
GPM	Golden Prospect Precious Metals Limited
GPNIKK1	FTSE Japan Green Chip 35
GPNYL007	FTSE Germany Unhedged In
GPOR	Great Portland Estates Plc
GPPS005	FTSE Japan Unhedged USD
GPSCW002	FTSE Developed Small Cap
GPSSG239	FTSE Greater China Hkd I
GPTRP006	FTSE Cuspacglhdntind
GPVAN001	FTSE Value-Stocks China
GPVAN013	FTSE Australia High Divi
GPVAN019	FTSE Canada All Cap Oil
GPVAN020	FTSE Canada All Cap Basi
GPVAN021	FTSE Canada All Cap Fina
GPVAN022	FTSE Canada All Cap Real
GPVAN025	FTSE Canada High Dividen
GPVAN044	FTSE Asia Pacific Ex JP
GPVAN045	FTSE Asia Pacific Ex JP
GPVAN090	FTSE All-World Ex US High Dividend Yield
GPVP002	FTSE Value-Stock China I
GPVP005	FTSE Value Stocks Taiwan
GPVP007	FTSE Value Stocks Korea
GPVP009	FTSE Value-Stocks China
GPVP010	FTSE Value Stocks Asean
GPVPJP	FTSE Value Stocks Japan Index
GPX	Gulfsands Petroleum Plc
GRA	Grafenia Plc
GRAF	ETFS Commodity Securities Limited
GRG	Greggs Plc
GRGOV01	FTSE Greece Government T
GRI	Grainger Plc
GRIO	Ground Rents Income Fund Plc
GRIT	Global Resources Investm
GRIW	Ground Rents Income Fund Plc
GRL	Goldstone Resources Limited
GRN	Green REIT Plc
GROW	Draper Esprit Plc
GRPH	Graphene Nanochem Plc
GRTB	Guaranty Trust Bank Plc
GSH	Green & Smart Holdings Plc
GSK	Glaxosmithkline Plc
GSR	Golden Saint Resources L
GSS	Genesis Emerging Markets Fund Ld
GTC	Getech Group Plc
GTLY	Gateley (Holdings) Plc
GUN	Gunsynd Plc
GUS	Gusbourne Plc
GUSC	Guscio Plc
GVC	Gvc Holdings Plc
GVP	Gabelli Value Plus+ Trus
GWI	Globalworth Real Estate
GWMO	Great Western Mining Corporation Plc
GWUSA	FTSE Gwa US Index
GYM	The Gym Group Plc
H50E	HSBC ETFS Plc
HAIK	Haike Chemical Group Ltd
HALC	Halifax Plc
HALO	Halosource Inc.
HALS	Hals-Development Jsc
HAN	Hansa Trust Plc
HANA	Hansa Trust Plc
HAS	Hays Plc
HAST	Henderson Alternative ST
HAT	H&T Group Plc
HAWK	Nighthawk Energy Plc
HAYD	Haydale Graphene Industr
HAYT	Hayward Tyler Group Plc
HB20	Helical Bar Plc
HBRL	HSBC ETFS Plc
HBRN	Hibernia REIT P.L.C.
HCAD	HSBC ETFS Plc
HCAN	HSBC ETFS Plc
HCFT	Highcroft Investments Plc
HCM	Hutchison China Meditech Limited
HDD	Hardide Plc
HDEM	Powershares Glbal Funds Ireland Plc
HDEU	Powershares Glbal Funds Ireland Plc
HDIQ	Ishares II Plc
HDIV	Henderson Diversified Income Limited
HDLG	Powershares Glbal Funds
HDLV	Powershares Glbal Funds
HDLVDEUN	FTSE Developed Europe Ex UK High Dividen
HDLVEMN	FTSE Emerging High Dividend Low Volatili
HDLVUKN	FTSE UK High Dividend Low Volatility Net
HDT	Holders Technology Plc
HDY	Hardy Oil & Gas Plc
HEAD	Headlam Group Plc
HEAL	Ishares IV Plc
HEAT	ETFS Commodity Securities Limited
HEDDEIV	Wisdomtree Europe Equity Ucits ETF
HEDF	Wisdomtree Issuer Plc
HEDFEIV	Wisdomtree Europe Equity Ucits ETF - EUR
HEDG	Wisdomtree Issuer Plc
HEDJ	Wisdomtree Issuer Plc
HEDJEIV	Wisdomtree Europe Equity
HEDK	Wisdomtree Issuer Plc
HEDP	Wisdomtree Issuer Plc
HEDPEIV	Wt Euequcetfgbphine
HEFT	Henderson European Focus Trust Plc
HER	Herencia Resources Plc
HEWA	HSBC ETFS Plc
HFD	Halfords Group Plc
HFEL	Henderson Far East Income Limited
HFG	Hilton Food Group Plc
HGG	Henderson Group Plc
HGM	Highland Gold Mining Ld
HGT	Hg Capital Trust Plc
HHI	Henderson High Income Trust Plc
HHPD	Hon Hai Precision Indust
HHV	Hargreave Hale Aim Vct 1 Plc
HHVT	Hargreave Hale Aim Vct 2 Plc
HICL	Hicl Infrastructure Company Ld
HIDD	HSBC ETFS Plc
HIDR	HSBC ETFS Plc
HIK	Hikma Pharmaceuticals Plc
HILS	Hill & Smith Holdings Plc
HINT	Henderson International Income Trust Plc
HIX	FTSE Actuaries 350 High Yield
HKOD	HSBC ETFS Plc
HKOR	HSBC ETFS Plc
HL	HARGREAVES LANSDOWN PLC ORD GBP0.004 WI
HLCL	Helical Bar Plc
HLMA	Halma Plc
HLTG	Multi Units Luxembourg
HLTH	SSGA SPDR ETFS Europe II
HLTW	Multi Units Luxembourg
HMAD	HSBC ETFS Plc
HMAF	HSBC ETFS Plc
HMBR	HSBC ETFS Plc
HMCD	HSBC ETFS Plc
HMCH	HSBC ETFS Plc
HMCX	HSBC ETFS Plc
HMED	HSBC ETFS Plc
HMEF	HSBC ETFS Plc
HMEM	HSBC ETFS Plc
HMEU	HSBC ETFS Plc
HMEX	HSBC ETFS Plc
HMFD	HSBC ETFS Plc
HMFE	HSBC ETFS Plc
HMI	Harvest Minerals Limited
HMJD	HSBC ETFS Plc
HMJP	HSBC ETFS Plc
HMLA	HSBC ETFS Plc
HMLD	HSBC ETFS Plc
HMLH	Hml Holdings Plc
HMSF	Highbridge Multi-Strategy Fund Limited
HMSG	Hms Hydraulic  Machines
HMSO	Hammerson Plc
HMUD	HSBC ETFS Plc
HMUS	HSBC ETFS Plc
HMWD	HSBC ETFS Plc
HMWO	HSBC ETFS Plc
HMXD	HSBC ETFS Plc
HMXJ	HSBC ETFS Plc
HMYR	HSBC ETFS Plc
HNE	Henderson Eurotrust Plc
HNL	Hague & London Oil Plc
HNR	Highlands Natural Resour
HNT	Huntsworth Plc
HOC	Hochschild Mining Plc
HOGF	ETFS Commodity Securities Limited
HOGS	ETFS Commodity Securities Limited
HON	Honeywell International Incorporated
HONY	Honeycomb Investment Trust Plc
HOT	Henderson Opportunites Trust Plc
HOTC	Hotel Chocolat Group Plc
HPAC	Hermes Pacific Investmen
HPRD	HSBC ETFS Plc
HPRO	HSBC ETFS Plc
HRG	Hogg Robinson Group Plc
HRI	Herald Investment Trust Plc
HRN	Hornby Plc
HRUB	HSBC ETFS Plc
HRUD	HSBC ETFS Plc
HS5E	HSBC Bank Plc
HS6E	HSBC Bank Plc
HS6G	HSBC Bank Plc
HSBA	HSBC Holdings Plc
HSBK	Jsc Halyk Bank
HSD	Hansard Global Plc
HSL	Henderson Smaller Companies Investment T
HSP	Hargreaves Services Plc
HSPD	HSBC ETFS Plc
HSPX	HSBC ETFS Plc
HSS	Hss Hire Group Plc
HSTG	Hastings Group Holdings Plc
HSTN	Hansteen Holdings Plc
HSV	Homeserve Plc
HSW	Hostelworld Group Plc
HSX	Hiscox Ltd
HTG	Hunting Plc
HTOP	Retail Charity Bonds Plc
HTRD	HSBC ETFS Plc
HTRY	HSBC ETFS Plc
HTWD	HSBC ETFS Plc
HTWN	HSBC ETFS Plc
HUKX	HSBC ETFS Plc
HUM	Hummingbird Resources Plc
HUNT	Hunters Property Plc
HUR	Hurricane Energy Plc
HUW	Hampden Underwriting Plc
HVE	Havelock Europa Plc
HVN	Harvey Nash Group Plc
HVO	Hvivo Plc
HVPE	Harbourvest Global Private Equity Limite
HVT	Heavitree Brewery Plc
HW	Harwood Wealth Management
HWDN	Howden Joinery Group Plc
HWG	Harworth Group Plc
HWSL	Hadrian's Wall Secured Investments Limit
HWWA	HSBC ETFS Plc
HYDG	Hydrogen Group Plc
HYDR	Jsc Rushydro
HYFA	Powershares Glbal Funds Ireland Plc
HYG	Hygea Vct Plc
HYLD	Ishares Plc
HYNS	Haynes Publishing Group Plc
HYR	Hydrodec Group Plc
HYUD	Hyundai Motor Company
HYUO	Hyundai Motor Company
HYUP	Hyundai Motor Company
HZAD	HSBC ETFS Plc
HZAR	HSBC ETFS Plc
HZD	Horizon Discovery Group
HZM	Horizonte Minerals Plc
IAAA	Ishares Vi Plc (The Comp
IAE	Ithaca Energy Inc
IAEX	Ishares Plc
IAG	International Consolidated Airlines Grou
IAPD	Ishares Plc
IASH	Ishares IV Plc
IASP	Ishares II Plc
IAT	Invesco Asia Trust Plc
IAUP	Ishares V Public Limited Company
IAUS	Ishares III Plc
IAUT	Ishares V Public Limited Company
IBC1	Ishares Plc
IBCI	Ishares Plc
IBCX	Ishares Plc
IBEL	Ishares V Public Limited Company
IBGE	Ishares III Plc
IBGL	Ishares II Plc
IBGM	Ishares II Plc
IBGS	Ishares Plc
IBGX	Ishares II Plc
IBGY	Ishares III Plc
IBGZ	Ishares III Plc
IBM	International Business Machines Corporat
IBPO	Ienergizer Ld
IBST	Ibstock Plc
IBT	International Biotechnology Trust Plc
IBTL	Ishares IV Plc
IBTM	Ishares II Plc
IBTS	Ishares Plc
IBZL	Ishares Plc
IC55	Icap Plc
ICDU	Ishares V Public Limited Company
ICG2	Intermediate Capital Gro
ICG3	Intermediate Capital Gro
ICG7	Intermediate Capital Gro
ICGC	Irish Continental Group Plc
ICGT	Icg Enterprise Trust Plc
ICOV	Ishares III Plc
ICP	Intermediate Capital Group Plc
ICTA	Investors Capital Trust Plc
ICTB	Investors Capital Trust Plc
ICTU	Investors Capital Trust Plc
IDAP	Ishares Plc
IDAR	Ishares II Plc
IDBT	Ishares Plc
IDBZ	Ishares Plc
IDEA	Ideagen Plc
IDEE	Ishares Plc
IDEM	Ishares Plc
IDEU	Ishares V Public Limited Company
IDFE	Ishares II Plc
IDFF	Ishares Plc
IDFX	Ishares Plc
IDH	Immunodiagnostic Systems Holdings Plc
IDHC	Integrated Diagnostics H
IDIN	Ishares II Plc
IDJG	Ishares Plc
IDJP	Ishares III Plc
IDJV	Ishares Plc
IDKO	Ishares Plc
IDNA	Ishares Plc
IDOX	Idox Plc
IDP	Innovaderma Plc
IDP6	Ishares III Plc
IDPE	Ishares II Plc
IDTK	Ishares II Plc
IDTL	Ishares IV Plc
IDTM	Ishares II Plc
IDTP	Ishares II Plc
IDTW	Ishares Plc
IDUP	Ishares II Plc
IDUS	Ishares Plc
IDVY	Ishares Plc
IDWP	Ishares II Plc
IDWR	Ishares Plc
IE15	Ishares III Plc
IEAC	Ishares III Plc
IEAG	Ishares III Plc
IEBB	Ishares III Plc
IEBC	Ishares III Plc
IECF	Ishares Vi Plc (The Comp
IEDY	Ishares V Public Limited Company
IEEM	Ishares Plc
IEER	Ishares Plc
IEEU	Ishares IV Plc
IEFM	Ishares IV Plc
IEFQ	Ishares IV Plc
IEFV	Ishares IV Plc
IEGA	Ishares III Plc
IEGE	Ishares III Plc
IEGL	Ishares II Plc
IEGM	Ishares II Plc
IEGOV01	FTSE Ireland Government
IEGS	Ishares Plc
IEGX	Ishares II Plc
IEGY	Ishares III Plc
IEGZ	Ishares III Plc
IEH	Intelligent Energy Holdi
IEM	Impax Environmental Markets Plc
IEMA	Ishares III Plc
IEMB	Ishares II Plc
IEMG	Ishares V Public Limited
IEMI	Ishares II Plc
IEML	Ishares III Plc
IEMO	Ishares IV Plc
IEMS	Ishares III Plc
IEMU	Ishares Vii Plc
IEQU	Ishares IV Plc
IESE	Ishares II Plc
IESG	Ishares II Plc
IESP	Ishares V Public Limited Company
IESU	Ishares V Public Limited Company
IESZ	Ishares IV Plc
IEUR	Ishares Plc
IEUT	Ishares Plc
IEUX	Ishares Plc
IEVL	Ishares IV Plc
IEX5	Ishares III Plc
IEXF	Ishares III Plc
IFFF	Ishares Plc
IFP	Ifg Group Plc
IFRB	Ishares V Public Limited Company
IFRE	Ishares IV Plc
IFSE	Ishares IV Plc
IFSU	Ishares IV Plc
IFSW	Ishares IV Plc
IGAS	Igas Energy Plc
IGC	India Capital Growth Fund Limited
IGCC	Ishares III Plc
IGE	Image Scan Holdings Plc
IGEA	Ishares III Plc
IGG	Ig Group Holdings Plc
IGHY	Ishares Plc
IGIL	Ishares III Plc
IGLN	Ishares Physical Metals Plc
IGLO	Ishares III Plc
IGLS	Ishares III Plc
IGLT	Ishares II Plc
IGP	Intercede Group Plc
IGR	International Greetings Plc
IGSD	Ishares IV Plc
IGSG	Ishares II Plc
IGSS	Ig Seismic Services Plc
IGSU	Ishares II Plc
IGUS	Ishares V Public Limited Company
IGV	Income & Growth Vct [The] Plc
IGWD	Ishares V Public Limited Company
IH2O	Ishares II Plc
IHC	Inspiration Healthcare G
IHCU	Ishares V Public Limited Company
IHG	Intercontinental Hotels Group Plc
IHYG	Ishares Plc
IHYU	Ishares II Plc
III	3I Group Plc
IIP	Infrastructure India Plc
IIT	Independent Investment Trust Plc
IITB	Ishares V Public Limited Company
IITU	Ishares V Public Limited Company
IJPA	Ishares III Plc
IJPD	Ishares Plc
IJPE	Ishares MSCI Japan EUR Hedged
IJPH	Ishares V Public Limited Company
IJPN	Ishares Plc
IJPU	Ishares Plc
IKA	Ilika Plc
IKOR	Ishares Plc
IL0A	Permanent Tsb Group Hold
IM56	Investec Bank Plc
IMB	Imperial Brands
IMBS	Ishares IV Plc
IME	Immedia Group Plc
IMEA	Ishares III Plc
IMEU	Ishares II Plc
IMG	Imagination Technologies Group Plc
IMI	IMI Plc
IMIB	Ishares II Plc
IMID	SSGA SPDR ETFS Europe I Plc
IMM	Immupharma Plc
IMO	Imimobile Plc
IMPT	Industrial Multi Propert
IMTK	Imaginatik Plc
IMV	Ishares Vi Plc (The Comp
IMVU	Ishares Vi Plc (The Company)
INAA	Ishares Plc
INCH	Inchcape Plc
IND	Indigovision Group Plc
INDI	Indus Gas Limited
INDL	Multi Units France
INDV	Indivior Plc
INDW	Multi Units Luxembourg
INF	Informa Plc
INFA	Infrastrata Plc
INFG	Multi Units Luxembourg
INFL	Multi Units Luxembourg
INFR	Ishares II Plc
INFT	Infinity Energy S.A
INFU	Multi Units Luxembourg
ING	Ingenta Plc
INL	Inland Homes Plc
INLD	Ishares V Public Limited Company
INLZ	Inland Zdp Plc
INM	Independent News & Media Plc
INPP	International Public Partnerships Ld
INRG	Ishares II Plc
INRL	Lyxor International Asse
INRU	Lyxor International Asse
INS	Instem Plc
INSE	Inspired Energy Plc
INSP	Inspirit Energy Holdings
INTU	Intu Properties Plc
INUG	Multi Units Luxembourg
INV	Investment Company Plc
INVP	Investec Plc
INVR	Investec Plc
INXG	Ishares II Plc
IOF	Iofina Plc
IOG	Independent Oil & Gas Pl
IOGP	Ishares V Public Limited Company
IOM	Iomart Group Plc
IPDM	Ishares Physical Metals Plc
IPE	Invesco Perpetual Enhanc
IPEL	Impellam Group Plc
IPF	International Personal Finance Plc
IPF1	International Personal F
IPLT	Ishares Physical Metals Plc
IPO	Ip Group Plc
IPOL	Ishares V Public Limited Company
IPOS	FTSE Renaissance US Ipo Index
IPOSAP	FTSE Renaissance Asia Pacific Ex Japan I
IPOSC	FTSE Renaissance US Ipo Capped Index
IPOSCN	FTSE Renaissance Canada Ipo Index
IPOSE	FTSE Renaissance EMEA Ipo Index
IPOSEC	FTSE Renaissance EMEA Ipo Capped Index
IPOSEM	FTSE Renaissance Emerging Markets Ipo
IPOSG	FTSE Renaissance Global Ipo Index
IPOSGC	FTSE Renaissance Global Ipo Capped Index
IPOSHKT	FTSE Renaissance Hong Kong/China Top Ipo
IPOSLM	FTSE Renaissance Latin America Ipo Index
IPOSNA	FTSE Renaissance North America Ipo Index
IPOST	FTSE Renaissance US Ipo Investable Index
IPOSXJ	FTSE Renaissance Global Ex Japan Ipo Ind
IPOSXU	FTSE Renaissance Global Ex US Ipo Index
IPOUSA	Renaissance Ipo Index
IPOXUS	Ipox US Index
IPOXUSN	Ipox US Net Return Index
IPRP	Ishares Plc
IPRV	Ishares II Plc
IPU	Invesco Perpetual UK Smaller Companies I
IPX	Impax Asset Management Group Plc
IPXJ	Ishares III Plc
IQE	Iqe Plc
IRCP	Ishares V Public Limited
IRG	Independent Resources Plc
IRHC	Ishares V Public Limited
IRON	Ironveld Plc
IRR	Ironridge Resources Limi
IRSA	Ishares III Plc
IRV	Interserve Plc
IS15	Ishares Plc
ISAC	Ishares V Public Limited Company
ISAG	Ishares V Public Limited Company
ISAT	Inmarsat Plc
ISBB	Ishares III Plc
ISDE	Ishares II Plc
ISDU	Ishares II Plc
ISDW	Ishares II Plc
ISEM	Ishares II Plc
ISEQ	Wisdomtree Issuer Plc
ISEU	Ishares II Plc
ISF	Ishares Plc
ISFE	Ishares II Plc
ISFR	Ishares IV Plc
ISFU	Ishares Plc
ISJP	Ishares III Plc
ISLN	Ishares Physical Metals Plc
ISP6	Ishares III Plc
ISPY	Go Ucits ETF Solutions Plc
ISQE	Wisdomtree Issuer Plc
ISRL	Ishares IV Plc
ISUS	Ishares II Plc
ISWD	Ishares II Plc
ISX5	Ishares Vii Plc
ISXF	Ishares III Plc
ITE	Ite Group Plc
ITEC	SSGA SPDR ETFS Europe II
ITGOVP01	FTSE Italy Government To
ITKY	Ishares II Plc
ITM	Itm Power Plc
ITPS	Ishares II Plc
ITQ	Interquest Group Plc
ITRK	Intertek Group Plc
ITV	Itv Plc
